Nutrient,Age_Group,Gender,RDA,Unit
Phosphorus (P),14-18,Male,1055,mg
Phosphorus (P),19-30,Male,580,mg
Phosphorus (P),31-50,Male,580,mg
Phosphorus (P),51-70,Male,580,mg
Phosphorus (P),> 70,Male,580,mg
Phosphorus (P),14-18,Female,1055,mg
Phosphorus (P),19-30,Female,580,mg
Phosphorus (P),31-50,Female,580,mg
Phosphorus (P),51-70,Female,580,mg
Phosphorus (P),> 70,Female,580,mg
Zinc (Zn),14-18,Male,8.5,mg
Zinc (Zn),19-30,Male,9.4,mg
Zinc (Zn),31-50,Male,9.4,mg
Zinc (Zn),51-70,Male,9.4,mg
Zinc (Zn),> 70,Male,9.4,mg
Zinc (Zn),14-18,Female,7.3,mg
Zinc (Zn),19-30,Female,6.8,mg
Zinc (Zn),31-50,Female,6.8,mg
Zinc (Zn),51-70,Female,6.8,mg
Zinc (Zn),> 70,Female,6.8,mg
Copper (Cu),14-18,Male,685,µg
Copper (Cu),19-30,Male,700,µg
Copper (Cu),31-50,Male,700,µg
Copper (Cu),51-70,Male,700,µg
Copper (Cu),> 70,Male,700,µg
Copper (Cu),14-18,Female,685,µg
Copper (Cu),19-30,Female,700,µg
Copper (Cu),31-50,Female,700,µg
Copper (Cu),51-70,Female,700,µg
Copper (Cu),> 70,Female,700,µg
Selenium (Se),14-18,Male,45,µg
Selenium (Se),19-30,Male,45,µg
Selenium (Se),31-50,Male,45,µg
Selenium (Se),51-70,Male,45,µg
Selenium (Se),> 70,Male,45,µg
Selenium (Se),14-18,Female,45,µg
Selenium (Se),19-30,Female,45,µg
Selenium (Se),31-50,Female,45,µg
Selenium (Se),51-70,Female,45,µg
Selenium (Se),> 70,Female,45,µg
Iodine (I),14-18,Male,95,µg
Iodine (I),19-30,Male,95,µg
Iodine (I),31-50,Male,95,µg
Iodine (I),51-70,Male,95,µg
Iodine (I),> 70,Male,95,µg
Iodine (I),14-18,Female,95,µg
Iodine (I),19-30,Female,95,µg
Iodine (I),31-50,Female,95,µg
Iodine (I),51-70,Female,95,µg
Iodine (I),> 70,Female,95,µg
Manganese (Mn),14-18,Male,2.2,mg
Manganese (Mn),19-30,Male,2.3,mg
Manganese (Mn),31-50,Male,2.3,mg
Manganese (Mn),51-70,Male,2.3,mg
Manganese (Mn),> 70,Male,2.3,mg
Manganese (Mn),14-18,Female,1.6,mg
Manganese (Mn),19-30,Female,1.8,mg
Manganese (Mn),31-50,Female,1.8,mg
Manganese (Mn),51-70,Female,1.8,mg
Manganese (Mn),> 70,Female,1.8,mg
Chromium (Cr),14-18,Male,35,µg
Chromium (Cr),19-30,Male,35,µg
Chromium (Cr),31-50,Male,35,µg
Chromium (Cr),51-70,Male,30,µg
Chromium (Cr),> 70,Male,30,µg
Chromium (Cr),14-18,Female,24,µg
Chromium (Cr),19-30,Female,25,µg
Chromium (Cr),31-50,Female,25,µg
Chromium (Cr),51-70,Female,20,µg
Chromium (Cr),> 70,Female,20,µg
Molybdenum (Mo),14-18,Male,33,µg
Molybdenum (Mo),19-30,Male,34,µg
Molybdenum (Mo),31-50,Male,34,µg
Molybdenum (Mo),51-70,Male,34,µg
Molybdenum (Mo),> 70,Male,34,µg
Molybdenum (Mo),14-18,Female,33,µg
Molybdenum (Mo),19-30,Female,34,µg
Molybdenum (Mo),31-50,Female,34,µg
Molybdenum (Mo),51-70,Female,34,µg
Molybdenum (Mo),> 70,Female,34,µg
Chloride (Cl),14-18,Male,2.3,g
Chloride (Cl),19-30,Male,2.3,g
Chloride (Cl),31-50,Male,2.3,g
Chloride (Cl),51-70,Male,2,g
Chloride (Cl),> 70,Male,1.8,g
Chloride (Cl),14-18,Female,2.3,g
Chloride (Cl),19-30,Female,2.3,g
Chloride (Cl),31-50,Female,2.3,g
Chloride (Cl),51-70,Female,2,g
Chloride (Cl),> 70,Female,1.8,g
Potassium (K),14-18,Male,4.7,g
Potassium (K),19-30,Male,4.7,g
Potassium (K),31-50,Male,4.7,g
Potassium (K),51-70,Male,4.7,g
Potassium (K),> 70,Male,4.7,g
Potassium (K),14-18,Female,4.7,g
Potassium (K),19-30,Female,4.7,g
Potassium (K),31-50,Female,4.7,g
Potassium (K),51-70,Female,4.7,g
Potassium (K),> 70,Female,4.7,g
