code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
04_0009,Bitter gourd leaves green ,করলা শাক,0.38,55,231,84,4.9,0.5,6.1,3.1,1.4,110,5.2,167,90,724,31,0.95,0.59,,,,,,,,,,,,"62,63"
04_0010,Bottle gourd leaves ,লাউ শাক,0.71,26,109,90.2,2.5,0.6,0.6,4.4,1.7,94,3.1,69,28,276,41,0.49,0.15,,,,,,,,,,,,"62,63"
04_0011,Bugleweed ,সবরং (বাগউইড) ,0.71,43,179,88.6,2.6,1.3,4.6,1.3,1.7,,,,,,,,,,,,,,,,,,,,"62,63"
04_0012,Cassava leaves ,সিমেই আলু শাক,0.85,62,259,82.4,4.7,1.2,5.7,4.8,1.3,201,4.9,54,36,303,22,0.45,0.81,,,,,,,,,,,,"62,63"
04_0013,Colocasia leaves black,কালো কচু শাক,0.7,62,261,81.8,5.6,1.2,5.3,3.7,2.4,392,2.1,130,39,763,48,0.98,0.25,,,,,,,,,,,,"62,63"
04_0014,Colocasia leaves green ,সবুজ কচু শাক,0.8,51,212,84.7,4,1.1,4.4,3.7,2.1,235,4.9,61,40,764,47,0.68,0.19,,,,,,,,,,,,"65,66"
04_0015,Cowpea leaves ,বরবটি পাতা,0.8,34,141,89,3.4,0.7,1.7,3.6,1.6,290,5.1,60,61,475,44,0.5,0.27,,,,,,,,,,,,"65,66"
04_0016,Dima leaves ,ডিমা শাক,0.71,33,137,91.1,1.7,1,3.6,1,1.6,,,,,,,,,,,,,,,,,,,,"65,66"
04_0017,Drumstick leaves ,সজনা পাতা,0.75,72,300,79.7,6.7,1.8,4.6,5.2,2,440,0.9,42,70,259,30,0.16,0.07,,,,,,,,,,,,"65,66"
04_0018,Fern leaves ,ঢেঁকি শাক,1,68,287,82.3,1.3,0.6,13.7,1,1.1,,,,,,,,,,,,,,,,,,,,"65,66"
