source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,02_0012,"Bengal gram, whole, boiled (without salt)",Mug dal siddho,সিদ্ধ ছোলা (লবণ ছাড়া),Grain Legumes,182,52.5,10.6,3.1,23.3,9.1,1.3,0.094,0.004,0.059,0.172,0.28,0.016,0.00126,0.00045,2e-06,,2.1e-05,,0.00135,0.0001,0.0001,0.0017,0.000195,4.8e-05,
FCT_2014,02_0003,"Black gram, dehulled, dried, raw",Maskalai dal,মাষকলাই ডাল (আস্ত),Grain Legumes,317,11.3,22.3,1.7,45.1,16.3,3.3,0.184,0.0059,0.189,0.337,1.121,0.033,0.00231,0.00107,2e-06,,2.4e-05,,0.0019,0.00042,0.00026,0.0059,0.00028,0.00014,
FCT_2014,02_0004,"Black gram, split, dried, raw",Maskalai dal vanga,মাষকলাই ডাল (ভাঙা),Grain Legumes,350,10.5,22.6,1.2,61.8,0.9,3,0.053,0.0033,0.142,0.385,0.79,0.035,0.00245,0.00108,5e-06,,5.6e-05,,0.0019,0.00042,0.00018,0.002,0.00028,0.000132,
FCT_2014,02_0005,"Green gram, split, dried, raw",Mug dal vanga,মুগ ডাল (ভাঙা),Grain Legumes,351,9.8,23.7,1.2,60.9,0.7,3.7,0.069,0.0072,0.147,0.315,1.3,0.03,0.00273,0.00166,3e-06,,3.9e-05,,0.0019,0.00036,0.00014,0.0066,0.0005,0.00014,
FCT_2014,02_0013,"Green gram, split, boiled (without salt)",Mug dal siddho,মুগ ডাল সিদ্ধ (লবণ ছাড়া),Grain Legumes,161,58.5,10.9,0.5,28.1,0.3,1.7,0.03,0.0029,0.059,0.131,0.448,0.013,0.00113,0.00054,1e-06,,1.8e-05,,0.0008,0.00011,5e-05,0.002,0.0002,3.2e-05,
FCT_2014,02_0006,"Green gram, whole, dried, raw",Mung dal,সবুজ মুগ ডাল,Grain Legumes,318,10.4,23.7,1.3,44.8,16.3,3.5,0.137,0.0079,0.189,0.326,1.78,0.028,0.00268,0.00117,3e-06,,3.9e-05,,0.0019,0.00047,0.00039,0.0066,0.0005,0.00014,
FCT_2014,02_0007,"Grass pea, split, dried, raw",Kheshari dal vanga,খেসারি ডাল (ভাঙা),Grain Legumes,352,9.4,28.4,0.9,56.5,2.2,2.6,0.061,0.0053,0.101,0.374,0.813,0.035,0.00338,0.00108,5e-06,,6e-05,,0.0005,0.00037,0.00021,0.0029,0.000348,0.000207,
FCT_2014,02_0014,"Grass pea, split, boiled (without salt)",Motor dal,খেসারি ডাল সিদ্ধ (লবণ ছাড়া),Grain Legumes,142,63.5,11.4,0.4,22.8,0.9,1,0.024,0.0019,0.036,0.136,0.246,0.013,0.00123,0.00031,2e-06,,2.4e-05,,0.0002,0.0001,6e-05,0.0008,9.8e-05,4.2e-05,
FCT_2014,02_0008,"Lentil, dried, raw",Mosur dal,মসুর ডাল,Grain Legumes,317,12.2,27.7,0.8,43.2,13.2,2.9,0.023,0.0051,0.072,0.261,0.635,0.037,0.00389,0.00079,3e-06,,3.4e-05,,0.00037,0.00077,0.00013,0.0063,0.000336,3.6e-05,
FCT_2014,02_0015,"Lentil, boiled (without salt)",Masur dal siddho,মসুর ডাল সিদ্ধ (লবণ ছাড়া),Grain Legumes,155,56.9,13.6,0.4,21.2,6.5,1.4,0.012,0.0022,0.031,0.115,0.234,0.016,0.00172,0.00027,1e-06,,1.7e-05,,0.00016,0.00024,5e-05,0.002,0.000115,9e-06,
FCT_2014,02_0009,"Pea, dried, raw",Masur dal vanga,মটর,Grain Legumes,327,11.7,22.1,2.1,48.3,13,2.8,0.075,0.0048,0.102,0.298,0.709,0.021,0.00349,0.00129,3e-06,,3.9e-05,,0.00104,0.00047,0.00013,0.0055,7.5e-05,3.3e-05,
FCT_2014,02_0016,"Pea, boiled (without salt)",Rajma,মটর সিদ্ধ (লবন ছাড়া),Grain Legumes,170,54,11.5,1.1,25.2,6.8,1.4,0.037,0.0023,0.047,0.14,0.277,0.012,0.00164,0.00047,2e-06,,2e-05,,0.00049,0.00016,5e-05,0.0019,2.7e-05,9e-06,
FCT_2014,02_0010,"Red gram, split, dried, raw","Red gram, whole",অড়হর ডাল,Grain Legumes,347,10.8,22.3,1.5,60.4,1.5,3.5,0.055,0.0027,0.096,0.304,1.1,0.029,0.0021,0.0012,3e-06,,3e-05,,0.00083,0.00045,0.00019,0.0029,0.000283,0.000103,
FCT_2014,02_0011,"Soybean, dried, raw",Mug dal,গাড়ী কলাই বা সয়াবিন,Grain Legumes,424,9.2,32.9,19.9,23.6,9.3,5,0.241,0.0113,0.207,0.691,1.53,0.005,0.0057,0.00125,1e-06,,1.3e-05,,0.0029,0.00073,0.0005,0.0079,0.000417,0.0001,
FCT_2014,03_0001,"Amaranth, stem, raw",Amaranth danta kanda,ডাঁটা,Other Vegetables,21,92.3,0.9,0.1,3.7,1.2,1.8,0.114,0.0018,,0.03,,,0.00052,,2.6e-05,,0.000306,,,1e-05,0.00018,,,,0.0358
FCT_2014,03_0002,"Bean, scarlet runner, raw",Shim,শিম,Other Vegetables,54,85,3.9,0.1,8.3,2,0.7,0.044,0.0011,0.025,0.034,0.22,,0.00048,2e-05,3.2e-05,,0.000384,,6e-05,5e-05,1e-05,,8e-05,6e-05,0.0087
FCT_2014,03_0003,"Bean, seeds and pods, raw",Shim atta,কাঁচা শিমের বিচি ও শুঁটি,Other Vegetables,29,90,2.4,0.1,2.5,4.3,0.6,0.07,0.0009,0.051,0.049,0.17,0.01,0.00037,0.0006,1.9e-05,,0.000227,,0.00051,8e-05,9e-05,0.0005,6.3e-05,6.2e-05,0.0096
FCT_2014,03_0004,"Beet root, red, raw",Beet,বিটরুট,Other Vegetables,46,85.8,2,0.1,7.9,2.8,1.4,0.015,0.001,0.023,0.04,0.325,0.078,0.00035,8e-05,1e-06,,7e-06,,8e-05,3e-05,6e-05,0.0004,6.7e-05,0.000109,0.0145
FCT_2014,03_0005,"Brinjal, purple, long, raw",Beet siddho,লম্বা বেগুন,Other Vegetables,24,91.4,1.9,0.1,2,4.1,0.7,0.021,0.0004,0.024,0.047,0.178,0.008,0.00057,0.00068,4e-06,,4.5e-05,,0.0001,3e-05,7e-05,0.0009,7.9e-05,3.4e-05,0.0013
FCT_2014,03_0033,"Brinjal, purple, long, boiled (without salt)",Begun siddho,বেগুন সিদ্ধ (লবণ ছাড়া),Other Vegetables,26,90.6,2.1,0.1,2.1,4.4,0.7,0.024,0.0004,0.021,0.047,0.132,0.008,0.00052,0.00063,4e-06,,4.7e-05,,0.00011,2e-05,6e-05,0.0007,6e-05,2e-05,0.001
FCT_2014,03_0006,"Broad beans, raw",Korola,মাখন শিম,Other Vegetables,50,85.4,4.5,0.6,4.5,4.2,0.8,0.05,0.0014,0.038,0.095,0.25,0.05,0.00058,7e-05,8e-06,,0.000102,,0.00028,8e-05,0.00011,0.0024,3.8e-05,9.6e-05,0.009
FCT_2014,03_0007,"Cabbage, raw",Badha kopi,বাঁধাকপি,Other Vegetables,24,92.7,1.5,0.3,2.6,2.5,0.4,0.03,0.0005,0.015,0.03,0.17,0.008,0.0004,2e-05,5e-06,,5.9e-05,,0.0002,6e-05,5e-05,0.0006,0.000156,4.3e-05,0.0161
