source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,05_0021,Potato Mash,Kachur loti,আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,84,77,1.4,0.8,16.6,2.5,1.8,0.014,0.0006,0.023,0.044,0.273,0.31,0.00085,0.00047,3e-06,,3.2e-05,,0.00011,7e-05,0.0001,0.0004,0.000247,1.4e-05,0.0165
FCT_2014,05_0006,"Sweet potato, Komola Sundori, orange flesh, raw",Mishti alu siddho,কমলা সুন্দরী মিষ্টি আলু,Roots and Tubers,97,73.7,0.9,0.3,21.1,3,1,0.03,0.0006,0.025,0.038,0.214,0.022,0.0003,0.00015,0.000719,,0.00863,,0.00026,8e-05,6e-05,0.0008,0.000209,1.1e-05,0.023
FCT_2014,05_0016,"Sweet potato, Komola Sundori, orange flesh, boiled (without salt)",Kachu mukhi,কমলা সুন্দরী মিষ্টি আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,98,73.4,0.9,0.3,21.4,3,1,0.031,0.0007,0.024,0.036,0.174,0.02,0.00027,0.00014,0.000692,,0.0083,,0.00026,6e-05,5e-05,0.0006,0.000159,7e-06,0.0163
FCT_2014,05_0007,"Sweet potato, pale-yellow flesh, raw",Mishti alu (holud),লাল আলু বা মিষ্ট আলু,Roots and Tubers,105,71.7,0.9,0.3,23.1,3,1,0.025,0.001,0.027,0.044,0.219,0.022,0.00014,0.00011,3e-06,,3.9e-05,,0.00026,6e-05,2e-05,0.0008,0.000209,1.1e-05,0.0204
FCT_2014,05_0013,"Sweet potato, pale-yellow flesh, boiled (without salt)",Begun siddho,লাল আলু বা মিষ্ট আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,106,71.4,0.9,0.3,23.4,3,1,0.027,0.0011,0.026,0.042,0.177,0.02,0.00013,0.0001,3e-06,,3.8e-05,,0.00026,5e-05,2e-05,0.0006,0.000159,7e-06,0.0144
FCT_2014,05_0008,"Sweet potato, skin purple, flesh pale-yellow, raw (without skin)",Mishti alu siddho (holud),লাল খোসার মিষ্টি আলু,Roots and Tubers,104,71.8,0.6,0.3,23.4,3,1,0.032,0.0014,0.027,0.05,0.232,0.022,0.0004,9e-05,3e-06,,3.9e-05,,0.00026,8e-05,6e-05,0.0008,0.000209,1.1e-05,0.0351
FCT_2014,05_0015,"Sweet potato, skin purple, flesh pale-yellow, boiled (without salt)",Shalgom,লাল খোসার মিষ্টি আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,106,71.4,0.6,0.3,23.6,3,1,0.033,0.0014,0.026,0.047,0.188,0.02,0.00037,8e-05,3e-06,,3.8e-05,,0.00026,6e-05,5e-05,0.0006,0.000159,7e-06,0.0249
FCT_2014,05_0009,"Sweet potato, white flesh, raw",Alu,মিষ্ট আলু (সাদা),Roots and Tubers,98,73.5,0.6,0.3,21.8,3,0.8,0.025,0.0015,0.025,0.05,0.232,0.021,0.00038,0.0001,1e-06,,1.7e-05,,0.00026,8e-05,6e-05,0.0008,0.000209,1.1e-05,0.0203
FCT_2014,05_0014,"Sweet potato, white flesh, boiled (without salt)",Moola siddho,মিষ্ট আলু (সাদা) সিদ্ধ (লবণ ছাড়া),Roots and Tubers,99,73.2,0.6,0.3,22.1,3,0.8,0.026,0.0015,0.024,0.047,0.188,0.019,0.00035,9e-05,1e-06,,1.6e-05,,0.00026,6e-05,5e-05,0.0006,0.000159,7e-06,0.0144
FCT_2014,05_0010,"Yam, tuber, raw",Ranga alu,বন আলু,Roots and Tubers,97,73.1,1.5,0.2,20.3,4.1,0.8,0.017,0.0008,0.017,0.035,0.353,0.009,0.00034,0.00018,3e-06,,3e-05,,0.00046,0.00011,3e-05,0.0008,0.000293,2.3e-05,0.0128
FCT_2014,05_0020,"Yam, tuber, boiled (without salt)",Paka kola,বন আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,109,69.8,1.7,0.2,22.8,4.6,0.9,0.021,0.0009,0.019,0.036,0.316,0.01,0.00034,0.00018,3e-06,,3.2e-05,,0.00052,0.0001,3e-05,0.0006,0.000246,1.6e-05,0.01
FCT_2014,06_0001,"Sunflower seeds, dried",Suraj mukhi,সূর্যমুখী বীজ,Nuts and Oil Seeds,552,4.7,17.1,40.1,26.4,8.6,3,0.078,0.0053,0.325,0.66,0.645,0.009,0.005,0.0018,2e-06,,2.3e-05,,0.03523,0.00148,0.00036,0.0091,0.001345,0.000227,
FCT_2014,06_0002,"Cashew nuts, raw",Hijli badam,হিজলি বাদাম,Nuts and Oil Seeds,595,5.9,18,46.9,23.5,3.3,2.4,0.05,0.005,0.292,0.593,0.66,0.012,0.00578,0.0022,1e-06,,6e-06,,0.00085,0.00063,0.00019,0.0057,0.000417,2.5e-05,
FCT_2014,06_0003,"Chilgoza pine, dried",Chilgoza badam,চিলগোজা বা পাইন বাদাম,Nuts and Oil Seeds,712,2.9,13.7,68.4,8.7,3.7,2.7,0.041,0.0049,0.251,0.575,0.597,0.002,0.00645,0.00132,1e-06,,1.8e-05,,0.01365,0.00035,0.00025,0.0062,9.4e-05,3.4e-05,0.0005
FCT_2014,06_0004,Coconut milk,Narkel dudh,নারকেলের দুধ,Nuts and Oil Seeds,213,72,2.1,21.7,1.2,2.2,0.8,0.018,0.003,0.045,0.097,0.227,0.014,0.0006,0.00023,,,,,0.0007,3e-05,1e-05,0.0007,2.8e-05,1.5e-05,0.0013
FCT_2014,06_0005,"Coconut, desiccated",Shukna narkel,শুকনো নারকেল,Nuts and Oil Seeds,652,4.3,5.6,62.2,8.5,17.8,1.6,0.032,0.0047,0.09,0.185,0.66,0.028,0.0009,0.00078,,,,,0.00126,6e-05,2e-05,0.0029,9e-05,1.3e-05,
FCT_2014,06_0006,"Coconut, mature kernel",Narkel,নারকেল,Nuts and Oil Seeds,389,42.9,3.3,36.7,6.9,9.2,1,0.016,0.0022,0.037,0.117,0.424,0.016,0.00074,0.00031,,,,,0.00073,5e-05,4e-05,0.0011,5.4e-05,2.3e-05,0.0033
FCT_2014,06_0007,"Groundnuts/Peanut, raw",China badam,চিনা বাদাম,Nuts and Oil Seeds,585,5.3,22.5,46.6,14.8,8.5,2.4,0.076,0.0029,0.189,0.403,0.688,0.01,0.00339,0.00108,,,,,0.01009,0.00077,0.00012,0.0184,0.000348,0.000175,
FCT_2014,06_0008,"Jackfruit seeds, raw",Kanthal,কাঁঠালের বিচি,Nuts and Oil Seeds,151,60.1,5.6,0.4,30.4,1.5,2,0.04,0.0015,0.054,0.097,0.246,0.063,,0.00019,,,,,,0.00021,0.00011,0.0031,,,0.0086
FCT_2014,06_0009,"Linseed, raw",Tishi,তিসি,Nuts and Oil Seeds,500,6.5,17.2,39.1,6.1,27.3,3.7,0.255,0.0057,0.392,0.642,0.813,0.03,0.00434,0.00122,,,,,0.01035,0.00164,0.00016,0.0077,0.000473,8.7e-05,
FCT_2014,06_0010,"Lotus seeds, dried",Shukna padma bij,শুকনো পদ্মবীজ,Nuts and Oil Seeds,339,12.7,16.3,2.2,61.6,4.1,3.2,0.147,0.0056,0.21,0.626,1.37,0.005,0.00105,0.00035,3e-06,,3e-05,,,0.00064,0.00015,0.0053,0.000629,0.000104,
FCT_2014,06_0011,"Lotus seeds, green",Kacha padma bij,কাচা পদ্মবীজ,Nuts and Oil Seeds,74,80.8,4.1,0.6,12.5,0.9,1.1,0.047,0.001,0.056,0.168,0.367,0.001,0.00028,9e-05,1e-06,,1.2e-05,,,0.00017,4e-05,0.0014,0.000168,2.8e-05,
FCT_2014,06_0012,"Mustard seeds, dried",Shorisha,সরিষা,Nuts and Oil Seeds,501,8.5,22,35,18.5,11.8,4.2,0.257,0.0089,0.357,0.8,0.713,0.013,0.00587,0.00062,1e-06,,1.7e-05,,0.00507,0.00065,0.00026,0.0082,0.000383,0.000156,
FCT_2014,06_0013,"Pistachio nuts, dried",Pesta,পেস্তা বাদাম,Nuts and Oil Seeds,574,4.5,19.2,44.9,18.2,10.3,2.9,0.117,0.0053,0.121,0.49,1.02,0.001,0.0022,0.0013,1.6e-05,,0.000195,,0.0023,0.0008,0.0002,0.0058,0.0017,5.1e-05,0.0053
FCT_2014,06_0014,"Pumpkin seeds, dried",Kumrar bichi,মিষ্টি কুমড়ার বিচি,Nuts and Oil Seeds,580,6.3,25.1,47.3,10.6,6,4.7,0.045,0.0081,0.431,1.042,0.815,0.013,0.00721,0.00146,1e-06,,1e-05,,0.00218,0.00027,0.00021,0.0104,0.000143,5.8e-05,0.0015
FCT_2014,06_0015,"Sesame seeds, whole, dried",Til,তিল,Nuts and Oil Seeds,563,5.3,17.7,45.8,14.3,11.7,5.2,0.969,0.0105,0.349,0.625,0.465,0.011,0.0077,0.00406,,,5e-06,,0.002,0.00079,0.00034,0.0122,0.00078,9.7e-05,
FCT_2014+BD,06_0016,Walnuts,Akhrot,আখরোট,Nuts and Oil Seeds,684,4.5,15.2,64.5,7.3,6.7,1.8,0.1,0.0048,0.158,0.346,0.441,0.002,0.00309,0.00159,1e-06,,1.2e-05,,0.00361,0.00045,0.00015,0.004,0.000537,9.8e-05,0.0013
FCT_2014,07_0001,"Bay leaf, dried",Tejpata,তেজপাতা,Spices and Condiments,353,5.4,7.6,8.4,48.7,26.3,3.6,0.834,0.043,0.12,0.113,0.529,0.023,0.0037,0.00042,0.000309,,0.00371,,,,,0.0039,0.00174,0.00018,0.0465
FCT_2014,07_0002,Cardamom,Elach,এলাচ,Spices and Condiments,261,20,10.2,2.2,37.8,24.4,5.4,0.13,0.0046,0.173,0.16,0.976,0.016,0.00281,0.00047,,,,,,0.00022,0.00017,0.0008,0.00023,,
FCT_2014,07_0003,"Chilli, red, dry",Shukna morich,শুকনা মরিচ,Spices and Condiments,313,10,15.9,6.2,35.2,26.6,6.1,0.16,0.0023,0.152,0.293,2.01,0.03,0.00248,0.00037,0.000747,,0.00896,,0.01971,0.00093,0.00043,0.0087,0.00245,0.000106,0.0474
FCT_2014,07_0004,"Cinnamon, ground",Daruchini gura,দারুচিনি গুঁড়া,Spices and Condiments,243,10.6,4,1.2,27.5,53.1,3.6,1.0,0.0083,0.06,0.064,0.431,0.01,0.00183,0.00034,1.5e-05,,0.000177,,0.00232,2e-05,4e-05,0.0013,0.000158,6e-06,0.0038
FCT_2014,07_0005,"Cloves, dried",Lobongo,লবঙ্গ,Spices and Condiments,267,25.2,5.2,8.9,27.4,28.1,5.2,0.74,0.0049,0.215,0.086,0.847,0.23,0.00193,0.00031,6e-06,,6.6e-05,,0.00604,8e-05,0.00013,0.0013,0.000324,2.1e-05,
FCT_2014,07_0006,"Coriander leaves, raw",Dhoney pata,ধনে পাতা,Spices and Condiments,30,87.9,3.3,0.5,0.1,5.9,2.2,0.16,0.0014,0.034,0.03,0.396,0.058,0.00032,0.00014,0.000132,,0.00159,,0.0025,5e-05,6e-05,0.0011,0.000149,6.2e-05,0.1057
FCT_2014,07_0007,"Coriander seed, dry",Dhonia,ধনিয়া,Spices and Condiments,336,11.2,14.1,16.1,13.4,40.8,4.4,0.63,0.0179,0.322,0.398,1.23,0.034,0.00458,0.00095,,,,,,0.00022,0.00035,0.0021,,,
FCT_2014,07_0008,Cumin seeds,Jira,জিরা,Spices and Condiments,402,10,18.3,17.6,37.2,10.5,6.4,1.02,0.0445,0.404,0.507,1.38,0.148,0.00389,0.00096,6.4e-05,,0.000762,,0.00333,0.00058,0.00035,0.0036,0.000435,1e-05,0.0077
FCT_2014,07_0009,Fennel seeds,Mouri,মিষ্টি জিরা বা মৌরী,Spices and Condiments,329,8.3,15.8,14.9,13,39.8,8.2,1.2,0.0164,0.387,0.495,1.68,0.088,0.0037,0.00107,7e-06,,8.4e-05,,,0.00041,0.00035,0.0116,0.00047,,
FCT_2014,07_0010,Fenugreek seeds,Methi,মেথি,Spices and Condiments,330,10.7,21.8,6.9,32.8,24.6,3.2,0.155,0.0236,0.181,0.318,0.71,0.055,0.0047,0.00146,8e-06,,0.0001,,,0.00033,0.00034,0.0058,0.0006,6.4e-05,
FCT_2014,07_0011,"Ginger root, raw",Ada,আদা,Spices and Condiments,72,81.1,1.9,0.8,13.3,2,0.9,0.017,0.0011,0.04,0.032,0.387,0.012,0.00036,0.00017,,,,,0.00026,3e-05,3e-05,0.001,0.00016,1.1e-05,0.005
FCT_2014,07_0012,"Indian pennywort, raw",Thankuni pata,থানকুনি,Spices and Condiments,37,84.5,2.3,0.5,1.6,8.7,2.6,0.119,0.0032,0.056,0.045,0.508,0.2,0.00184,0.0003,0.000108,,0.0013,,,9e-05,0.0001,0.0012,,,0.024
FCT_2014,07_0013,"Lemon grass, raw",Lemon ghas,লেবু ঘাস,Spices and Condiments,116,70.3,1.4,0.9,25.5,,2,0.05,0.0028,0.06,0.03,0.196,0.009,0.0006,8e-05,3e-06,,3.5e-05,,,6e-05,8e-05,0.0014,8e-05,7.5e-05,0.0018
FCT_2014,07_0014,"Lemon peel, raw",Lebu khosha,লেবুর খোসা,Spices and Condiments,65,77.8,1.6,0.4,8.7,10.6,1,0.306,0.0009,0.015,0.012,0.16,0.006,0.00025,9e-05,3e-06,,4.1e-05,,0.00025,6e-05,8e-05,0.0006,0.000172,1.3e-05,0.1293
FCT_2014,07_0015,"Mace, ground",Joyotri gura,জয়ত্রী গুঁড়ো,Spices and Condiments,415,15.9,6.5,24.4,33.1,18.5,1.6,0.18,0.0126,0.213,0.1,0.424,0.073,0.00126,0.00156,3e-05,,0.000361,,,0.00025,0.00042,0.0014,0.00015,7e-05,
FCT_2014,07_0016,"Nutmeg, dried",Jayfal,জায়ফল,Spices and Condiments,480,14.3,7.5,36.4,21.1,19,1.7,0.12,0.0046,0.229,0.24,0.32,0.015,0.00122,0.00071,5e-06,,6.1e-05,,,0.00033,1e-05,0.0014,0.000146,6.9e-05,
FCT_2014,07_0017,"Pepper, black",Gol morich,গোলমরিচ,Spices and Condiments,302,11.7,11.8,3.3,43.5,25.3,4.4,0.443,0.0167,0.185,0.167,1.28,0.036,0.00134,0.0012,2.7e-05,,0.000329,,0.00072,0.00011,0.0002,0.0011,0.00034,1.4e-05,
FCT_2014,07_0018,Poppy seeds,Posto,পোস্ত দানা,Spices and Condiments,523,5.7,17.2,43.1,6.8,19.5,7.7,1.49,0.0096,0.339,0.86,0.71,0.024,0.00905,0.00163,,,,,0.00272,0.00085,0.00014,0.0051,0.00055,8.2e-05,0.001
FCT_2014,07_0019,"Spearmint leaves, fresh",Pudina pata,পুদিনা পাতা,Spices and Condiments,35,87.4,3,0.7,0.6,6.9,1.4,0.11,0.0156,0.042,0.062,0.355,0.03,0.00176,0.00015,6.2e-05,,0.00074,,0.005,9e-05,0.00026,0.0009,0.000158,0.000114,0.022
FCT_2014,07_0020,"Turmeric, dried",Holud,হলুদ,Spices and Condiments,335,11.5,6.9,8.4,47.3,21.1,4.8,0.168,0.0332,0.192,0.279,2.72,0.035,0.00378,0.0008,1e-06,,1.5e-05,,0.0031,9e-05,0.00017,0.0044,0.0018,3.9e-05,
FCT_2014,09_0001,"Anchovy, Gangetic hairfin, dried",Phasha shutki,ফেশা শুঁটকি,Marine Fish,328,10.3,70.9,4.9,0,0,11.9,1.68,0.018,0.138,0.772,0.982,,,0.00071,1.5e-05,1.5e-05,,,0.00058,0.00019,0.00086,,0.000482,3e-05,
FCT_2014,09_0002,"Anchovy, Gangetic hairfin, raw",Phasha mach,ফেশা,Marine Fish,105,74.8,17.7,3.8,0,0,3,0.452,0.0018,0.039,0.217,0.276,0.051,0.0032,0.0002,1.2e-05,1.2e-05,,,0.00044,5e-05,0.00024,0.0133,0.000135,9e-06,
FCT_2014,09_0003,"Anchovy, Gold spotted grebadier, raw",Oluya mach,অলুয়া,Marine Fish,71,79.9,13.2,2.1,0,0,3.3,0.449,0.0045,0.038,0.238,0.276,0.06,0.00125,9e-05,,,,,,7e-05,8e-05,0.0041,0.000224,,
FCT_2014,09_0004,"Anchovy, Scaly hairfin, raw",Teli phasha,তেলি ফাসা,Marine Fish,101,75.3,19.3,2.7,0,0,2.8,0.327,0.0023,0.038,0.175,0.338,0.04,0.0016,0.0002,8e-06,8e-06,,,0.00032,5e-05,0.00024,0.013,0.000133,8e-06,
FCT_2014,09_0005,"Barb, Olive, raw",Sarpunti mach,সরপুঁটি,Marine Fish,175,70.6,17.4,11.7,0,0,1.7,0.227,0.0006,0.021,0.151,0.267,0.043,0.00074,3e-05,,,,,,2e-05,7e-05,0.0035,0.000329,,
FCT_2014,09_0006,"Barb, Olive, without bones, raw",Sarpunti kata chara,সরপুঁটি কাটা ছাড়া,Marine Fish,175,70.6,17.4,11.7,0,0,1.3,0.024,0.0006,0.021,0.156,0.195,0.043,0.00074,3e-05,,,,,,2e-05,7e-05,0.0035,0.000329,,
FCT_2014,09_0007,"Barb, Pool barb, eyes included, raw",Punti mach,চোখ সহ পুঁটি মাছ,Marine Fish,139,71.6,17.6,7.6,0,0,4.9,0.967,0.0026,,0.62,0.203,0.053,0.003,7e-05,5.9e-05,5.7e-05,2.5e-05,,,1e-05,3e-05,0.0003,0.000262,,
FCT_2014,09_0008,"Barb, Pool barb, without bones, eyes included, raw",Punti mach kata chara,চোখ সহ পুঁটি মাছ কাটা ছাড়া,Marine Fish,94,76.6,17.6,2.6,0,0,1.4,0.11,0.002,0.038,0.096,0.238,0.053,0.003,7e-05,,,,,,1e-05,3e-05,0.0003,0.000262,,
FCT_2014,09_0009,"Bata, raw",Bata mach,বাটা মাছ,Marine Fish,106,74.6,15.9,4.7,0,0,2.1,0.493,0.0012,0.033,0.2,0.201,0.083,0.00094,0.00017,,,,,,8e-05,0.0001,0.0052,0.000285,,
FCT_2014,09_0010,"Boal, without bones, raw",Boal mach,বোয়াল মাছ কাটা ছাড়া,Marine Fish,80,80.8,15.4,2.1,0,0,1.3,0.083,0.0008,0.037,0.134,0.146,0.063,0.00027,5e-05,1e-06,1e-06,,,,6e-05,7e-05,0.0039,0.000215,,
FCT_2014,09_0011,"Bronze feather back, raw",Pholi mach,ফলি মাছ,Marine Fish,80,75.8,17.8,1,0,0,2.7,0.59,0.001,0.035,0.45,0.31,0.034,0.00074,5e-05,3e-05,3e-05,,,,0.00012,8e-05,0.0008,0.000271,,
FCT_2014,09_0012,"Calbasu, without bones, raw",Koi mach,কালিবাউশ মাছ,Marine Fish,95,76.7,17,3,0,0,1.2,0.013,0.0011,0.027,0.141,0.287,0.1,0.00036,0.0001,,,,,,5e-05,7e-05,0.0041,0.000112,,
FCT_2014,09_0013,"Catfish, Bacha, raw",Pangash mach,বাচা মাছ,Marine Fish,122,72.2,16.1,6.4,0,0,2.2,0.52,0.0007,,0.36,,,,0.00011,,,,,,,,0.0005,,,
FCT_2014,09_0014,"Catfish, Pabda, raw",Rohu mach,পাবদা মাছ,Marine Fish,95,73.7,17.3,2.8,0,0,2.3,0.267,0.0012,0.018,0.266,0.353,0.105,0.00125,9e-05,,,,,,3e-05,6e-05,0.0054,0.000294,,
FCT_2014,09_0015,"Catla, raw",Ruhi siddho,কাতলা মাছ,Marine Fish,103,76.7,19.9,2.6,0,0,1.3,0.53,0.0006,0.036,0.235,0.293,0.056,0.00048,3e-05,3e-06,3e-06,,,,8e-05,9e-05,0.0044,0.000261,,
FCT_2014,09_0016,"Chanda, Indian glaasy fish, eyes included, raw",Ranga chanda mach,চোখ সহ রাঙা চাঁদা,Marine Fish,115,74.8,15.5,5.9,0,0,4.8,0.931,0.002,,0.64,0.206,0.061,0.00245,,0.000106,0.000103,3.6e-05,,,,,,,,
FCT_2014,09_0017,"Climbing perch, indigenous, eyes included, raw",Deshi koi mach,চোখ সহ দেশি কই মাছ,Marine Fish,130,73,17.5,6.6,0,0,2,0.41,0.0012,0.053,0.39,0.214,0.052,0.00113,4e-05,0.000215,0.000209,7.4e-05,,,3e-05,0.00018,0.0026,,,
FCT_2014,09_0018,"Climbing perch, Thai, without bones, eyes included, raw",Thai koi mach,চোখ সহ থাই কই মাছ,Marine Fish,139,73,17.5,7.7,0,0,1.5,0.064,0.0012,0.053,0.161,0.214,0.052,0.00113,4e-05,0.000215,0.000209,7.4e-05,,,3e-05,0.00018,0.0026,0.000302,,
FCT_2014,09_0019,"Clown knife fish, without bones, raw",Chital mach,চিতল মাছ কাঁটা ছাড়া,Marine Fish,96,77.3,17.8,2.8,0,0,1,0.104,0.0016,0.023,0.197,0.203,0.114,0.00061,2e-05,3e-05,3e-05,,,,1e-05,0.00032,0.0013,0.000254,,
FCT_2014,09_0020,"Common carp, without bones, raw",Pati karp mach,পাতি কার্প কাঁটা ছাড়া,Marine Fish,88,79,18.7,1.5,0,0,1.2,0.047,0.0009,0.025,0.24,0.228,0.093,0.00073,6e-05,2e-06,2e-06,,6.6e-06,0.00063,0.00012,6e-05,0.0058,0.00018,1.5e-05,
FCT_2014,09_0021,"Croaker, Black spotted, without bones, raw",Poa mach,পোয়া মাছ কাঁটা ছাড়া,Marine Fish,100,75.8,18.6,2.9,0,0,1.2,0.032,0.0004,0.028,0.162,0.341,0.077,0.00065,2e-05,1.7e-05,1.7e-05,,6e-07,0.00117,7e-05,0.00011,0.0077,0.000344,1.7e-05,
FCT_2014,09_0022,"Day's mystus, combined species, eyes included, raw",Tengra mach,চোখ সহ টেংরা মাছ,Marine Fish,114,73.6,18.2,4.6,0,0,4,0.627,0.0028,0.022,0.348,0.323,0.054,0.00077,0.00018,4.3e-05,4.3e-05,7e-06,,,1e-05,4e-05,0.0054,0.000296,,
FCT_2014,09_0072,Fish ball,Macher kofta,মাছের কোফতা,Marine Fish,220,48.5,15.7,6.7,21.7,5,2.1,0.048,0.0025,0.073,0.211,0.296,0.345,0.00196,0.00052,3.4e-05,2.3e-05,0.000121,2e-07,0.00089,0.00024,0.00015,0.002,0.00018,1.5e-05,0.0052
FCT_2014,09_0023,"Fish (Catla, Mrigal, Rohu), dorsal with skin, raw",Rui katla mrigel (gadha),"(রুই, কাতলা ও মৃগেল) মাছের গাদা",Marine Fish,104,78.1,19.7,2.8,0,0,1.2,0.038,0.0009,0.041,0.164,0.267,0.05,0.00027,2e-05,6e-06,6e-06,3e-06,2.1e-06,0.00069,7e-05,9e-05,0.0049,0.000196,1.6e-05,
FCT_2014,09_0024,"Fish (Catla, Mrigal, Rohu), ventral with skin, raw",Rui katla mrigel (peti),"(রুই, কাতলা ও মৃগেল) মাছের পেটি",Marine Fish,130,75.2,21.4,4.9,0,0,1.4,0.043,0.001,0.045,0.186,0.303,0.057,0.00027,2e-05,1e-05,1e-05,5e-06,3.7e-06,0.00121,8e-05,0.0001,0.0056,0.000222,1.8e-05,
FCT_2014,09_0071,Small fish fry,Kachki mach vaja,কাচকি মাছ ভাজা,Marine Fish,107,79.3,7.4,6.1,5.3,0.9,1.6,0.215,0.0013,0.02,0.186,0.148,0.242,0.0016,0.00018,1.5e-05,1.3e-05,2.4e-05,9e-07,0.0005,3e-05,5e-05,0.0004,0.000165,7e-06,0.0053
FCT_2014,09_0025,"Ganges river sprat, combined species, raw",Kabchoki mach,বিভিন্ন প্রজাতির কবচকি  মাছ,Marine Fish,93,80.4,16.1,3.2,0,0,1.6,0.489,0.0024,0.026,0.45,0.134,0.038,0.0031,5e-05,3.8e-05,3.5e-05,3.5e-05,2.4e-06,0.00077,3e-05,5e-05,0.0035,0.000243,7e-06,
FCT_2014,09_0026,"Gangetic ailia, raw",Kajuli mach,কাজলি মাছ,Marine Fish,117,76.6,15.3,6.2,0,0,2,0.313,0.0009,,0.525,,,,,,,,,,,,,,,
FCT_2014,09_0027,"Gangetic mystus, raw",Gulsha mach,গুলশা  মাছ,Marine Fish,86,78.6,15.4,2.7,0,0,2.4,0.3,0.0013,0.018,0.21,0.265,0.05,0.00088,0.00014,,,,,,1e-05,3e-05,0.0044,0.000239,,
FCT_2014,09_0028,"Giant river-catfish, raw",Guijja mach,গুইজ্জা মাছ,Marine Fish,75,78.1,15.9,1.3,0,0,1.2,0.38,0.0007,0.036,0.18,0.271,0.084,0.00023,6e-05,,,,,,7e-05,8e-05,0.0005,0.000245,,
FCT_2014,09_0029,"Giant sea perch, whole, dried",Vetki shutki,ভেটকি শুঁটকি,Marine Fish,318,20.1,60.2,8.6,0,0,15.9,0.939,0.003,0.181,0.612,0.706,,0.00057,0.00042,,,,4.7e-06,,0.00013,0.0005,0.002,0.000378,1.4e-05,
FCT_2014,09_0030,"Giant sea perch, without bones, raw",Vetki mach,ভেটকি কাটা ছাড়া,Marine Fish,96,77.2,18.6,2.5,0,0,1.7,0.024,0.001,0.058,0.194,0.237,0.096,0.00016,0.00012,8e-06,8e-06,,1.5e-06,0.00235,4e-05,0.00018,0.0007,0.00012,5e-06,
FCT_2014,09_0031,"Goby, Tank goby, raw",Bele mach,বেলে মাছ,Marine Fish,81,79.6,14.7,2.5,0,0,2.7,0.397,0.0012,0.012,0.335,0.269,0.079,0.00093,7e-05,,,,,,2e-05,4e-05,0.0032,0.000229,,
FCT_2014,09_0032,"Gourami, Banded gourami, eyes included, raw",Khalisha mach,চোখ সহ খলিশা মাছ (কাটা ছাড়া),Marine Fish,105,75.2,15.8,4.6,0,0,1.4,0.422,0.0009,0.036,0.498,0.201,0.034,0.00135,0.00051,3.9e-05,3.8e-05,1.1e-05,,,8e-05,9e-05,0.0026,0.000278,,
FCT_2014,09_0033,"Hilsha, without bones, raw",Ilish mach,ইলিশ মাছ কাঁটা ছাড়া,Marine Fish,223,62.7,18,16.8,0,0,1.9,0.086,0.0013,0.026,0.195,0.162,0.052,0.00054,0.00018,,,,,,0.00012,0.00014,0.0056,0.000417,,
FCT_2014,09_0034,"Indian river shad, raw",Chapila mach,চাপিলা,Marine Fish,106,76.9,15.4,4.9,0,0,4.4,1.06,0.0048,0.037,0.56,0.231,0.057,0.00197,,6e-06,6e-06,,,,,,,,,
FCT_2014,09_0035,"Indian threadfin, without bones, raw",Laksha mach,লাক্ষা মাছ কাঁটা ছাড়া,Marine Fish,100,77.1,20.3,2.1,0,0,1.2,0.053,0.0005,0.029,0.208,0.278,0.075,0.00135,5e-05,,,,,0.0008,4e-05,7e-05,0.0023,0.000256,,
FCT_2014,09_0036,"Indo-pacific king mackerel, without bones, raw",Surma mach,সুরমা বা  বিজোরা মাছ (কাঁটা ছাড়া),Marine Fish,102,76,20.9,2,0,0,1.6,0.035,0.0008,0.04,0.259,0.306,0.078,0.00078,2e-05,,,,,,8e-05,9e-05,0.0049,0.000268,,
FCT_2014,09_0037,"Kuria labeo, without bones, raw",Gonia mach,গনিয়া মাছ (কাঁটা ছাড়া),Marine Fish,109,76.5,17.6,4.3,0,0,1.1,0.03,0.0003,0.042,0.175,0.203,0.06,6e-05,9e-05,,,,,,6e-05,7e-05,0.0059,0.000112,,
FCT_2014,09_0038,"Long-whiskered catfish, without bones, raw",Ar mach,আড় মাছ (কাঁটা ছাড়া),Marine Fish,89,78.1,17,2.3,0,0,1.2,0.011,0.0009,0.036,0.102,0.271,0.084,0.00023,9e-05,,,,,,7e-05,8e-05,0.0005,0.000245,1.1e-05,
FCT_2014,09_0039,"Mackerel, narrow-barred Spanish, raw",Champa mach,চম্পা মাছ,Marine Fish,112,73.3,19.8,3.6,0,0,1.5,0.092,0.002,0.048,0.161,0.285,0.145,0.0004,2e-05,3e-05,3e-05,,,,3e-05,0.00014,0.0023,0.000299,,
FCT_2014,09_0040,"Minnow, Finescale razorbelly, raw",Fulchela mach,ফুলচেলা মাছ,Marine Fish,95,77.6,15.3,3.7,0,0,3,0.534,0.0019,,0.221,0.395,0.053,0.0031,,,,,,,,,,,,
